img,approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max
01_01,5,16.2389858503,0.608031894741,1,10,32.478900271,43.5827935742,25.6195653492,0.962532674993,-5,1.34188021178,0.788806429264,0.587836695359
01_02,8,15.3907593151,0.368992084992,1,31,34.5448080513,38.3638617724,31.882023212,0.960543171919,-23,1.11055362402,0.922917943694,0.831043115555
01_03,8,33.1991517452,0.706883498253,0,44,25.6690760332,45.5601216583,16.5658122288,0.613151658768,-36,1.77490306232,0.64536067474,0.363603336115
01_04,4,20.7422817002,0.832367176261,1,12,30.5549160722,49.5039899984,23.744785065,0.935267857143,-8,1.62016448945,0.777118320629,0.479653964574
01_05,10,30.2448495622,0.833467241295,0,8,28.3838390978,46.5089984569,19.8961551267,0.81356477017,2,1.63857321403,0.700967725266,0.427791519638
01_06,8,17.0869214718,0.871973490656,1,46,31.7403653062,45.8228102976,21.5846931854,0.973846153846,-38,1.44367621026,0.680039217481,0.47104690972
01_07,5,16.1799358093,0.187847605929,1,6,35.873762973,42.1371783177,32.3223831734,0.966069295102,-1,1.17459599511,0.901003421295,0.767075168862
01_08,3,22.5072778304,0.670572551073,1,3,29.5055509813,49.2499190141,19.0767584516,0.948993754337,0,1.66917469344,0.646548117798,0.387345986216
01_09,7,15.6690320762,0.30137388557,1,125,36.0507873047,43.6376869241,34.4228629017,0.964792060491,-118,1.21045031708,0.954843582493,0.788833353189
01_10,4,19.8302581561,0.855383500332,1,4,33.6202082956,54.1988482738,22.2815836518,0.960768398268,0,1.61209138853,0.66274377172,0.411108065235
01_11,6,32.1524008457,0.366198650055,0,33,24.6764424557,45.2015421038,13.6134793863,0.658746556474,-27,1.83176899121,0.551679173799,0.301172897044
01_12,6,15.7118493499,0.186010407486,1,28,38.1610761024,43.1436271892,35.4450656133,0.95891846573,-22,1.1305663151,0.928827727976,0.821559704701
01_13,4,20.987272092,0.795050332317,1,3,35.2155550371,60.747418566,22.2289836144,0.932280449868,1,1.72501664398,0.631226274611,0.365924744445
01_14,3,24.3992518552,0.816572742508,1,4,31.8204925787,56.0979275976,18.4433111608,0.948137108793,-1,1.76294969221,0.579604829034,0.328769919865
01_15,8,16.3513897285,0.614694262845,1,49,41.1703794484,52.930093011,33.7014955528,0.947508896797,-41,1.28563529703,0.818585983522,0.636717104309
01_16,5,23.0975224199,0.739064603711,0,24,34.9888528286,59.6913083051,17.3244339163,0.826741186586,-19,1.70600929952,0.495141524107,0.290233777886
02_01,5,16.319543822,0.532777507547,1,8,31.7102653798,41.3946477275,25.6852941265,0.965464547677,-3,1.30540212237,0.809999343082,0.620497951707
02_02,3,26.7131025625,0.870134605434,0,8,28.439856202,58.9445567187,12.633495086,0.835855263158,-5,2.07260389433,0.444217966373,0.214328443359
02_03,8,33.8373214772,0.717653399977,0,53,25.6628750243,46.2232831714,17.1925053623,0.605856515373,-45,1.80117321725,0.669936838567,0.371944703681
02_04,5,15.5616889065,0.270829810579,1,25,33.7477817459,39.2582566304,30.3471618598,0.972282608696,-20,1.16328406193,0.899234269333,0.773013487214
02_05,12,20.3954690667,0.342364882389,0,20,31.73033517,36.5678310726,24.4511709919,0.880567928731,-8,1.15245650185,0.770592899851,0.668652481558
02_06,4,20.9644347122,0.839340767674,1,13,30.4348775058,50.4338457846,23.9296136382,0.94942903752,-9,1.65710690884,0.786256282243,0.474475290669
02_07,10,31.3450369273,0.840042132849,0,21,28.2038367172,47.6015494128,20.0980973454,0.806129032258,-11,1.68776857879,0.712601535276,0.422215192432
02_08,4,26.4988981861,0.734276664685,0,6,29.2672496781,53.1553412061,19.2647689937,0.863053239256,-2,1.81620554684,0.658236397528,0.362423955082
02_09,3,22.6651767938,0.658929196329,1,4,28.0737471348,47.0770276338,18.9166867633,0.949022614028,-1,1.67690573715,0.673821227799,0.401824153183
02_10,3,25.2103180765,0.900965418882,1,8,27.6222518485,57.4105010938,14.2018000986,0.94743083004,-5,2.07841494635,0.51414345856,0.247372864337
02_11,4,20.6450985121,0.865756731821,1,6,32.6840630588,53.5469173801,21.2282984833,0.957489300999,-2,1.63831887375,0.649499985517,0.396442961089
02_12,7,17.0528747258,0.635993133199,0,86,35.5797472919,46.6841807816,25.3807537778,0.9250988602,-79,1.31209984148,0.713348343077,0.543669254828
02_13,8,17.0777564167,0.87928071587,1,93,31.5946166787,46.2840947871,21.0780548093,0.978165938865,-85,1.46493610788,0.667140703863,0.455406007318
02_14,6,15.9866120325,0.195682724876,1,21,36.6202068603,41.6444105721,33.8639066174,0.956630336058,-15,1.13719757867,0.924732805212,0.81316810953
02_15,4,20.4273616871,0.792956295034,1,4,33.253699713,56.5788185681,21.1107863717,0.941463414634,0,1.70142928626,0.634840229926,0.373121724808
02_16,8,13.9984841078,0.262345787724,1,47,36.3103228927,39.6369795094,34.1298730221,0.97138836773,-39,1.09161737907,0.939949587421,0.86106139884
02_17,6,32.6080737479,0.262891837504,0,57,24.233896509,43.9884137964,13.7133668032,0.654255319149,-51,1.81516058633,0.565875438073,0.311749518105
02_18,8,16.1479669221,0.612107781246,1,98,39.3519706785,52.7853477396,32.2521353249,0.948158253752,-90,1.3413647863,0.819581199334,0.61100545333
02_19,5,22.2974771645,0.712693245626,0,11,33.5253964647,56.4050460556,17.8334095159,0.837126600284,-6,1.68245724148,0.531937319062,0.316166917022
02_20,10,16.1264957977,0.211916252866,1,222,36.0154520477,44.733737909,33.849008929,0.959726801696,-212,1.24207070481,0.939846843631,0.756677409739
02_21,3,23.2917475086,0.806878672257,1,3,30.4923462125,53.2027907752,17.7250426794,0.95801902263,0,1.74479164065,0.581294812669,0.333160017006
04_01,5,18.0148140607,0.592923236115,1,4,31.2094256872,41.9144926274,24.6643053863,0.958046336882,1,1.34300749548,0.790283859546,0.588443372213
04_02,8,32.9507506416,0.704541828361,0,52,24.3518237091,42.8514516453,16.262655418,0.63518581657,-44,1.75968141676,0.66782084218,0.379512357077
04_03,3,28.1101578035,0.873146308445,0,7,27.874619857,56.7225569666,12.154166604,0.821608885897,-4,2.03491768704,0.436029860367,0.214273954737
04_04,5,15.9722551381,0.280353673146,1,22,32.4641961729,38.0778461503,29.0535543094,0.966433158202,-17,1.17291818801,0.894941435008,0.763004141428
04_05,12,21.4787003476,0.253211910815,0,12,31.1430605946,35.8260180172,24.7879511723,0.86858608894,0,1.15036921013,0.795938186518,0.691898026747
04_06,4,23.2741891897,0.704514146913,0,6,27.7773858401,48.5110841812,18.5024806469,0.870064608758,-2,1.74642367214,0.666098701779,0.381407279577
04_07,4,21.3155195715,0.843316372263,1,15,28.8895919247,47.6830914793,22.5733793907,0.943165467626,-11,1.65052838419,0.781367194439,0.473404275821
04_08,10,29.748895345,0.835802639455,0,17,26.9514964384,45.486882718,18.6640924949,0.828612926652,-7,1.68773124794,0.692506723608,0.41031812645
04_09,6,28.0911428543,0.681338394319,0,4,27.7945695014,47.8994659223,17.7749272973,0.806580259222,2,1.72333901124,0.639510797114,0.371088214764
04_10,6,17.1989216065,0.632191003384,0,84,33.9358979285,44.3272140219,24.0039906212,0.920610687023,-78,1.30620424765,0.707333298555,0.541518142993
04_11,6,21.164773342,0.389271141053,0,10,31.9950714012,46.2246862373,23.465974644,0.834890965732,-4,1.44474396252,0.733424668749,0.507650274219
04_12,4,20.2180232445,0.871025761648,1,11,30.8245845107,50.7909411723,19.7598506692,0.963524854745,-7,1.64774130709,0.641041914526,0.3890428138
04_13,8,16.6488564068,0.87382295818,1,119,29.5378976576,42.9939027038,20.4140272918,0.982437275986,-111,1.45555053383,0.691113075428,0.474812147957
04_14,4,20.790282674,0.804329724916,1,3,32.0447763735,55.4355753937,20.0337621109,0.940799066783,1,1.72994109079,0.62518027517,0.361388187435
04_15,3,24.8680000965,0.896963542705,1,4,26.9160417029,54.8899382349,14.3514833166,0.959932517925,-1,2.03930202073,0.53319442268,0.261459272466
04_16,3,21.0921383823,0.166857636862,1,8,30.2881014919,45.7044707792,23.0677118347,0.941214892227,-5,1.50899094126,0.761609698148,0.504714559461
04_17,8,14.3367772875,0.182521316877,1,45,34.6873373117,37.3771680544,32.6315942873,0.967989756722,-37,1.07754503375,0.940735058275,0.87303549161
04_18,7,32.8635941953,0.334226484909,0,54,22.6801405655,42.2384610803,12.4888948839,0.65611043443,-47,1.86235446638,0.550653328085,0.29567589738
04_19,5,22.1168781044,0.717125052895,0,15,31.2094256872,51.8000968611,16.498396699,0.850708924103,-10,1.65975809297,0.528635062511,0.31850127121
04_20,4,21.6635678992,0.926137089373,1,3,28.9721102073,45.7838531956,14.7800601545,0.952673410405,1,1.58027333418,0.510147864573,0.322822548188
04_21,6,15.4778392659,0.18292827136,1,34,34.9023199003,39.8416932428,32.3008893901,0.963979848866,-28,1.14151991491,0.925465398356,0.810730839004
04_22,8,14.1238511807,0.192436638095,1,203,33.7619268174,36.8932874342,32.2147160987,0.981364757468,-195,1.09274827926,0.954172914151,0.87318637994
04_23,3,23.1822525561,0.813078907685,1,7,28.8620334028,50.8495247052,16.8532323925,0.956156375594,-4,1.76181366003,0.583923944558,0.33143343011
04_24,10,36.7836665426,0.35503321829,0,15,26.1603947848,40.0149203379,17.2663778233,0.592449710664,-5,1.52959925365,0.660019772842,0.431498492999
04_25,7,16.6120333665,0.626934115863,1,94,36.8022902237,49.2125616639,30.016244484,0.945345478782,-87,1.33721465063,0.815608058672,0.609930543528
06_01,8,33.3404985252,0.629644182012,0,31,25.1555173617,44.2637714837,16.354251632,0.620474406991,-23,1.75960489491,0.650125831118,0.369472620244
06_02,4,24.1502480963,0.667734384434,0,2,28.4006558303,49.6942287154,18.9323190713,0.877727745064,2,1.7497563793,0.66661555932,0.380976213149
06_03,10,32.4915218584,0.818061906955,0,10,26.5948221859,43.750822283,18.7794862524,0.801876578852,0,1.64508797905,0.706133175891,0.429237332522
06_04,5,16.2886331202,0.379751991314,1,27,33.4493535055,39.4075999971,29.280876837,0.956202393906,-22,1.17812740359,0.875379454859,0.743026138084
06_05,4,19.9939196421,0.842005745281,1,9,30.1247653188,46.8673459877,20.1814523056,0.954469367258,-5,1.55577464229,0.6699289469,0.430607961263
06_06,12,18.6474192616,0.410079429568,0,17,31.0304270951,35.6441381483,24.3563243275,0.900297619048,-5,1.14868345315,0.784917469966,0.683319210193
06_07,4,20.0415674916,0.83790169791,1,7,31.1941231975,51.5648683426,23.7423077671,0.944101297097,-3,1.65303150264,0.761114765647,0.460435729406
06_08,10,40.1951265442,0.128748545789,0,11,28.039711462,42.186550103,18.1176471746,0.57149467839,-1,1.50452868105,0.646142425507,0.429465010303
06_09,6,15.9392433055,0.302933073453,1,23,35.9579581967,41.0894831246,33.0481048397,0.955539872971,-17,1.14270901868,0.919076235053,0.80429594939
06_10,5,31.898993041,0.297194686502,0,17,24.1021895745,43.6150938596,14.5498002171,0.665815395841,-12,1.80959052392,0.603671304307,0.333595526905
06_11,4,27.416425334,0.857721507324,0,5,28.895100475,60.0567979934,12.5258436349,0.817388594578,-1,2.07844226205,0.433493686786,0.208566624486
06_12,4,18.1747571455,0.370973559915,1,6,34.5079307437,44.4302125549,29.5345556684,0.949492385787,-2,1.28753627347,0.855877331148,0.664740364046
06_13,5,22.8187362438,0.730142692396,0,22,33.6769672695,57.7034553819,17.4911634206,0.839340400471,-17,1.71343977978,0.519380598634,0.303121594797
06_14,10,26.5622610582,0.798515625965,0,5,39.2750519853,70.2095477861,19.4051360318,0.773503591381,5,1.7876372974,0.494083013285,0.276388848009
06_15,3,25.3418807153,0.899933598248,1,4,28.6739330405,59.7128717744,15.22376248,0.952433628319,-1,2.08247929191,0.530926903487,0.254949427613
06_16,3,21.418552355,0.277574612429,1,3,31.7804541953,48.4995707231,23.5484100642,0.938202247191,0,1.52608173644,0.740971476352,0.485538525664
06_17,5,17.771655816,0.606584596532,1,13,35.1703314984,46.5628992704,27.7847330531,0.955260570305,-8,1.32392551581,0.790004866868,0.596713982344
06_18,4,21.4567722397,0.805914559824,1,4,34.8475568124,61.1327148022,22.0442284171,0.935278254474,0,1.75428983821,0.632590357362,0.360596261567
06_19,4,22.7346238003,0.929593725887,1,2,32.4935977151,51.9645122508,16.6296175038,0.939926324738,2,1.59922310562,0.511781356117,0.320018735546
06_20,3,22.9288806681,0.63733568485,1,5,31.4228780818,50.4200542025,20.8782055581,0.940284934829,-2,1.60456512199,0.66442690271,0.414085345372
06_21,3,23.0151443661,0.834996209218,1,9,31.0765537774,56.6999254579,17.3842590642,0.957702020202,-6,1.82452423341,0.559401122425,0.306601092044
06_22,6,22.8392319154,0.356207092491,0,26,35.7226025607,53.9201919683,25.103104384,0.804696908872,-20,1.50941387534,0.702723278386,0.465560367417
06_23,8,15.7840514633,0.26063315516,1,35,38.5098138106,42.35691365,36.3668313912,0.953931203931,-27,1.09989920643,0.944352303805,0.85858076657
06_24,5,18.0511970734,0.637805872222,1,16,38.5428623589,56.336563583,29.9151388355,0.949928760432,-11,1.46166008789,0.776152496328,0.531007518615
07_01,5,17.3616914134,0.502141316521,1,6,40.8326729939,56.2122484128,34.3589156506,0.950980392157,-1,1.37664875432,0.841456439937,0.611235391231
07_02,4,20.4299334538,0.851613250922,1,7,34.434057647,57.035129383,26.1599226719,0.952441830734,-3,1.65635807338,0.759710718386,0.458663335297
07_03,4,21.8570328138,0.805181840025,1,3,32.601176512,55.3874132607,19.091605934,0.955911823647,1,1.6989390932,0.585610949559,0.344692138701
07_04,5,21.4281224268,0.759996251597,0,18,35.8826349313,59.301471662,18.5736569934,0.851758264898,-13,1.65265097659,0.517622438513,0.313207353424
07_05,12,19.743071561,0.311853924082,0,17,35.5081041338,40.974621936,27.6198254917,0.890913180387,-5,1.15395127213,0.77784568243,0.674071515165
07_06,5,16.401019301,0.389208858935,1,20,38.485008775,45.9140157771,33.4222496184,0.958393408857,-15,1.19303638582,0.868448538333,0.727931309269
07_07,10,38.2569050158,0.340678711649,0,5,32.2230794421,48.678664807,21.0369275692,0.581669044223,5,1.51067699456,0.652852797852,0.432159091721
07_08,3,24.2992550072,0.903863331303,1,2,31.8954290807,66.3264653347,17.0141038099,0.962940644773,1,2.0794975094,0.53343392142,0.256520586828
07_09,6,16.4066144929,0.288627730198,1,13,40.4960804723,46.2663599338,37.4304735108,0.950553505535,-7,1.14248982603,0.924298674692,0.809021361618
07_10,4,21.3325455392,0.913869266602,1,2,35.1114538177,52.5917155741,19.0709286833,0.954411039921,2,1.49785069702,0.543154059708,0.362622296594
07_11,3,22.1750751953,0.675099832464,1,5,33.1626394722,56.2695501245,22.1911192458,0.96025569761,-2,1.69677537795,0.669160223642,0.394371719637
07_12,4,23.406546263,0.826148825432,1,3,37.1894669963,64.5190088597,22.1837777577,0.879198704978,1,1.73487317971,0.596507009899,0.34383320745
07_13,8,33.5553760966,0.780363123015,0,22,31.6851602651,56.7010662755,21.0139944275,0.622459048747,-14,1.78951489597,0.663212502374,0.370610216136
07_14,4,20.8585033888,0.856397872536,1,19,38.2610397998,61.7186199572,25.1358597589,0.948442977934,-15,1.61309311718,0.656957047963,0.407265421299
07_15,4,24.1141157309,0.731421146876,0,2,35.0115891055,60.7801699953,22.3056837698,0.897668997669,2,1.73600146546,0.637094297622,0.36698949298
07_16,8,16.1835819378,0.274157133773,1,73,42.0803742479,46.0387408815,39.4717063102,0.951265389877,-65,1.09406681153,0.938007491989,0.85735851056
07_17,5,17.7117692791,0.596709225791,1,11,39.4085515427,53.026641921,31.3489996824,0.960811343048,-6,1.34556180944,0.795487234502,0.591193380284
07_18,7,33.4558572838,0.3686185414,0,15,28.2207607132,51.6743573436,16.5683490454,0.653434317054,-8,1.83107598937,0.587097889166,0.320629997103
09_01,3,20.8280401281,0.346246972101,1,9,22.1403980254,33.6089603123,15.8248491189,0.952380952381,-6,1.51799259768,0.714749983302,0.470852087417
09_02,5,17.2907840061,0.191209656745,1,9,30.1300480484,39.4389610202,24.8926098478,0.957368244377,-4,1.30895778715,0.826172258599,0.631167992358
09_03,4,19.27247245,0.84050783035,1,12,25.7557333968,42.5232004331,19.1403524865,0.947703501592,-8,1.65101881503,0.743149192903,0.450115520269
09_04,3,22.4806052745,0.776493822978,1,4,24.1549585256,40.5308919904,14.6557445647,0.958180867747,-1,1.67795328431,0.606738552216,0.361594424523
09_05,10,36.2479034101,0.509093827254,0,17,22.3905799554,35.076987856,14.3354648769,0.602524866106,-7,1.56659577045,0.640245357891,0.408685743935
09_06,5,15.8759434648,0.523646039156,1,21,29.1582870896,35.6895338387,24.3204542599,0.969509981851,-16,1.22399281306,0.834083778145,0.681444996447
09_07,6,21.4930459494,0.477851070203,0,9,28.6850319119,42.5930455483,19.2165312322,0.831992275507,-3,1.48485264647,0.669914933031,0.451165935304
09_08,6,15.3206769982,0.445886423788,1,18,31.7554045704,37.6681549063,27.7093226318,0.964090079124,-12,1.18619666214,0.872586037139,0.735616668794
09_09,12,21.6225261321,0.539155441519,0,18,28.8675472119,35.3786968475,20.8238587221,0.866887417219,-6,1.22555257597,0.721358782903,0.588598805996
09_10,4,21.870937083,0.938074302703,1,13,26.9455905555,44.3307134021,13.1362187739,0.954393305439,-9,1.64519361009,0.487509032206,0.296323198203
09_11,8,31.3276904264,0.67694900015,0,38,24.2273281672,41.3142061838,15.4654211328,0.633894809213,-30,1.70527290086,0.638346128226,0.374336640138
09_12,8,14.9318751968,0.527655069295,1,87,32.5082885143,36.913037165,28.5125425704,0.961204400695,-79,1.13549617196,0.877085318037,0.772424724711
09_13,3,24.8452512092,0.904256035735,1,4,26.0200908514,55.1006227807,13.7367664705,0.953384132676,-1,2.11761838556,0.5279292278,0.249303288733
09_14,4,20.0193828265,0.872209968329,1,12,31.0099043236,49.8643344669,19.0707236521,0.966101694915,-8,1.60801316723,0.614988148724,0.382452184632
09_15,4,21.4391732208,0.854292654963,1,3,32.1934308426,57.5651583146,18.9343046887,0.948717948718,1,1.78810262864,0.588141872213,0.328919527768
09_16,4,24.42071091,0.709881469144,0,2,29.7954069039,53.0212775588,19.4809358086,0.874020683171,2,1.77951177944,0.653823452437,0.367417321981
09_17,5,16.0909845943,0.59163259027,1,11,34.4756307413,45.5564543622,27.1125540592,0.971383975026,-6,1.32141032325,0.786426628788,0.5951418836
09_19,4,17.952433856,0.326838368189,1,15,38.3690399098,48.8795007562,32.8471640903,0.975326866301,-11,1.27393077521,0.856085118822,0.672002855637
09_20,5,32.9400854014,0.360953771389,0,33,25.199766327,46.9091428025,15.0690144756,0.656898254857,-28,1.86149118185,0.597982309838,0.32123832531
09_21,5,22.3290684985,0.759944426189,0,16,35.0842461779,60.0072463634,17.1872346765,0.836108108108,-11,1.71037582108,0.48988467899,0.286419319633
10_01,5,17.6242948856,0.619408527522,1,8,25.7927831403,34.8834223608,19.1601796899,0.95,-3,1.35244894555,0.742850416167,0.549263185581
10_02,3,21.2829941132,0.512802971053,1,4,20.2323136006,31.5316088645,14.3053696824,0.951183431953,-1,1.55847766533,0.707055553053,0.453683468671
10_03,4,18.8670349972,0.826787663449,1,10,22.2049997455,34.9429096537,15.6522024392,0.955582973473,-6,1.5736505316,0.704895411779,0.447936436728
10_04,3,21.4870653795,0.787410493676,1,4,20.9966471696,37.2783426348,12.8773620802,0.953200275292,-1,1.77544263775,0.613305637617,0.345438159801
10_05,10,33.5207150264,0.674438153167,0,33,19.7143696585,31.5875487608,11.1215870555,0.637597911227,-23,1.60226014364,0.564136071717,0.352087689353
10_06,4,24.5692189209,0.95820068047,1,2,24.2732692344,43.3520572746,10.8258152926,0.952650540401,2,1.78599993499,0.445997413372,0.249718605603
10_07,6,21.3328674468,0.657545238972,0,10,27.5530230383,45.7008050626,17.8211019752,0.838312829525,-4,1.65864939753,0.646792983494,0.389951598244
10_08,6,15.827737293,0.653254517854,1,14,29.7900648318,37.5379851866,23.7612295075,0.962374870556,-8,1.26008403804,0.797622618202,0.63299160542
10_09,5,16.1727754984,0.642676429845,1,22,29.9977007159,38.209267913,23.5477555741,0.967819239986,-17,1.27373988676,0.78498534928,0.616283871958
10_10,8,15.2630759459,0.698132759705,1,67,30.6744848948,38.1303101595,24.9629573624,0.9606759831,-59,1.24306276993,0.813802006719,0.65467490975
10_11,3,25.2934712369,0.862096283252,1,3,25.4261160785,50.9286708808,14.5974315409,0.93724042455,0,2.00300630751,0.57411173204,0.286625024538
10_12,4,21.0066682156,0.905993849605,1,11,30.0983377627,51.100809909,17.0476908764,0.958249158249,-7,1.69779508463,0.566399746416,0.333609015331
10_13,4,24.5968772094,0.665559378242,0,3,28.8013118346,49.6761285483,19.1904704434,0.874203287487,1,1.72478701087,0.666305429196,0.38631171559
10_14,4,17.9480515057,0.554213446435,1,5,35.7448721237,45.4158753172,28.1843058111,0.970502901354,-1,1.27055637967,0.788485288563,0.620582684233
10_15,5,16.4104340489,0.703749936814,1,11,34.3831778241,48.0655843106,25.5526933343,0.973270440252,-6,1.39793897343,0.743174277405,0.531621402316
10_16,10,31.7219318537,0.822018295367,0,6,31.564377766,51.812310336,22.9709743393,0.804007192397,4,1.64148049171,0.727749949947,0.443349740445
10_17,5,22.0168512482,0.721646369401,0,10,37.7248393122,61.5826754371,19.2628596966,0.838522130533,-5,1.63241717022,0.510614758017,0.31279673317
10_18,6,33.5529961885,0.406252989099,0,25,28.4790026159,53.8819625182,16.799882663,0.644736842105,-19,1.89198909965,0.589904179217,0.311790474547
